이름,유형,리뷰 수,주소,영업 시간,포장 가능 여부,반려동물 동반 가능 여부,메뉴
태양커피 사당점,카페,"['별점\n4.61', '방문자 리뷰 1,051', '블로그 리뷰 1,074']",서울 서초구 방배천로 32 송암빌딩 1층,"[{'day': '화', 'hours': '10:00 - 19:30'}, {'day': '수', 'hours': '10:00 - 19:30'}, {'day': '목', 'hours': '10:00 - 19:30'}, {'day': '금', 'hours': '10:00 - 19:30'}, {'day': '토', 'hours': '10:00 - 19:30'}, {'day': '일', 'hours': '10:00 - 19:30'}, {'day': '월', 'hours': '10:00 - 19:30'}]",True,False,"['바닐라라떼', '콜드브루', '클래식 아인슈페너', '롱블랙']"
태양커피 방배점,테이크아웃커피,"['별점\n4.56', '방문자 리뷰 1,489', '블로그 리뷰 1,517']",서울 서초구 서초대로25길 55 1층,"[{'day': '화', 'hours': '10:00 - 19:30'}, {'day': '수', 'hours': '10:00 - 19:30'}, {'day': '목', 'hours': '10:00 - 19:30'}, {'day': '금', 'hours': '10:00 - 19:30'}, {'day': '토', 'hours': '10:00 - 19:30'}, {'day': '일', 'hours': '10:00 - 19:30'}, {'day': '월', 'hours': '10:00 - 19:30'}]",False,False,"['롱블랙', '카페라떼', '바닐라라떼', '카라멜라떼']"
헬무트커피로스터스,"카페,디저트","['방문자 리뷰 966', '블로그 리뷰 1,006']",서울 서초구 방배천로6길 3-10 헬무트커피로스터스,"[{'day': '화', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '월', 'hours': '11:30 - 22:00\n21:30 라스트오더'}]",True,False,"['마피아 밀크', '마피아 워터']"
리요리요커피,"카페,디저트","['별점\n4.95', '방문자 리뷰 300', '블로그 리뷰 444']",서울 서초구 방배천로18길 11 아르떼상가 B동 104호 리요리요커피,"[{'day': '화', 'hours': '12:00 - 21:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '13:00 - 22:00'}, {'day': '월', 'hours': '12:00 - 21:00'}]",False,True,"['블루로즈', '초이스 크로플', 'Merry HappyBirthday!', '아메리카노(TAKE OUT)']"
토다 베이글 본점,베이글,"['별점\n4.47', '방문자 리뷰 2,192', '블로그 리뷰 890']",서울 서초구 성촌6길 39,"[{'day': '화', 'hours': '07:30 - 19:00'}, {'day': '수', 'hours': '07:30 - 19:00'}, {'day': '목', 'hours': '07:30 - 19:00'}, {'day': '금', 'hours': '07:30 - 19:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}, {'day': '월', 'hours': '07:30 - 19:00'}]",True,True,"['베이글', '크림치즈', '감자베이컨 스프', '연어 샐러드']"
MAILLET,"카페,디저트","['별점\n4.27', '방문자 리뷰 1,716', '블로그 리뷰 1,576']",서울 서초구 사평대로22길 14,"[{'day': '매일', 'hours': '11:00 - 21:30'}]",True,False,"['딱뜨 따땅', '딱뜨바니', '밀푀유바니', '마카롱']"
잇샌드 서래마을본점,"카페,디저트","['방문자 리뷰 122', '블로그 리뷰 237']",서울 서초구 서래로6길 7 1층,"[{'day': '매일', 'hours': '07:30 - 21:30\n21:00 라스트오더'}]",False,False,"['잇샌드전용아메리카노', '카페라떼', '꿀라떼', '달달다방커피']"
산도,브런치카페,"['별점\n4.58', '방문자 리뷰 807', '블로그 리뷰 857']",서울 서초구 서초대로56길 38 1층,"[{'day': '매일', 'hours': '10:00 - 20:00'}]",True,False,"['가츠산도', '매운가츠산도', '에그산도', '생과일크림산도 (계절과일)']"
피노,"카페,디저트","['별점\n4.61', '방문자 리뷰 402', '블로그 리뷰 390']",서울 서초구 사평대로57길 39-1 1층,"[{'day': '화', 'hours': '12:00 - 22:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '13:00 - 21:00'}, {'day': '월', 'hours': '12:00 - 22:00'}]",True,False,"['숲라떼', '수제 바스크치즈케이크', '브라운치즈크로플', '알토 크림 라떼']"
앨리스토리커피 양재,"카페,디저트","['별점\n4.38', '방문자 리뷰 648', '블로그 리뷰 123']",서울 서초구 강남대로16길 16 앨리스토리커피,"[{'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '09:00 - 21:00'}, {'day': '일', 'hours': '09:00 - 21:00'}, {'day': '월', 'hours': '08:00 - 21:00'}]",True,True,"['추천 핸드드립', '앨리라떼', '플레인 요거트스무디', '카페라떼/카푸치노']"
미니말레 커피뢰스터 교대법원점,"카페,디저트","['방문자 리뷰 1,616', '블로그 리뷰 1,566']",서울 서초구 서초대로51길 15 1층 미니말레 커피뢰스터 교대법원점,"[{'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}, {'day': '월', 'hours': '08:00 - 22:00'}]",True,False,"['헬싱키 라떼 (시그니처)', '아메리카노 (밸런스)', '아메리카노 (듄켈)', '라떼']"
오뗄두스 서래점,베이커리,"['별점\n4.47', '방문자 리뷰 432', '블로그 리뷰 367']",서울 서초구 서래로10길 9 서래빌딩,"[{'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 20:00'}, {'day': '월', 'hours': '10:30 - 20:00'}]",True,False,"['밀푀유', '골드키위잼', '우유푸딩', '하루치즈케이크']"
쿠운,"카페,디저트","['방문자 리뷰 291', '블로그 리뷰 339']",서울 서초구 강남대로83길 18 104호,"[{'day': '화', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '수', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '목', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '금', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '토', 'hours': '12:00 - 21:50\n21:45 라스트오더'}, {'day': '일', 'hours': '12:00 - 21:50\n21:45 라스트오더'}, {'day': '월', 'hours': '11:30 - 21:50\n21:45 라스트오더'}]",True,True,"['수제딸기스모어초콜릿(딕만스초콜릿)', '수제 두바이 초콜릿', '가나슈쿠키샌드 휘낭시에', '두바이 초콜릿 휘낭시에']"
김영모과자점 신반포점,베이커리,"['별점\n4.45', '방문자 리뷰 3,398', '블로그 리뷰 283']",서울 서초구 신반포로 100 래미안 퍼스티지 신반포역상가,"[{'day': '화', 'hours': '08:00 - 22:30'}, {'day': '수', 'hours': '08:00 - 22:30'}, {'day': '목', 'hours': '08:00 - 22:30'}, {'day': '금', 'hours': '08:00 - 22:30'}, {'day': '토', 'hours': '08:00 - 22:30'}, {'day': '일', 'hours': '08:00 - 22:30'}, {'day': '월', 'hours': '08:00 - 22:30'}]",False,False,"['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']"
에크하우스,"카페,디저트","['방문자 리뷰 352', '블로그 리뷰 440']",서울 서초구 강남대로8길 15-1 1층,"[{'day': '화', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 20:00\n19:30 라스트오더'}, {'day': '월', 'hours': '08:00 - 23:00\n22:30 라스트오더'}]",True,True,"['콜드브루', '카푸치노', '플랫화이트', '하우스 돌체']"
소울브레드,베이커리,"['별점\n4.6', '방문자 리뷰 695', '블로그 리뷰 606']",서울 서초구 바우뫼로7길 27 동양고속아파트 동양상가 201호,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '12:00 - 20:00'}, {'day': '목', 'hours': '12:00 - 20:00'}, {'day': '금', 'hours': '12:00 - 20:00'}, {'day': '토', 'hours': '12:00 - 18:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['우리통밀100% 사워도우', '쇼콜라 사워도우', '올리브 치아바타', '우리호밀 100% 사워도우']"
캐틀앤비 양재점,"카페,디저트","['방문자 리뷰 4,170', '블로그 리뷰 2,744']",서울 서초구 양재천로 131 1층 캐틀앤비,"[{'day': '매일', 'hours': '09:30 - 23:00\n22:00 라스트오더'}]",True,False,"['브런치: 몬테 크리스토', '브런치: 크로크무슈+아메리카노', '갈릭 쉬림프 오일 파스타', '코리안 로제 프라운 파스타']"
스타벅스 서울웨이브아트센터점,카페,"['별점\n4.45', '방문자 리뷰 4,279', '블로그 리뷰 2,424']",서울 서초구 잠원로 145-35 (잠원동),"[{'day': '화(11/12)', 'hours': '08:30 - 22:00'}, {'day': '수(11/13)', 'hours': '08:30 - 22:00'}, {'day': '목(11/14)', 'hours': '08:30 - 22:00'}, {'day': '금(11/15)', 'hours': '08:30 - 22:00'}, {'day': '토(11/16)', 'hours': '07:30 - 22:00'}, {'day': '일(11/17)', 'hours': '07:30 - 21:30'}, {'day': '월(11/18)', 'hours': '08:30 - 22:00'}]",False,False,"['토피 넛 라떼', '스타벅스 딸기 라떼', '골든 캐모마일 릴렉서', '산타 베어리스타 케이크']"
거북이,"카페,디저트","['별점\n4.61', '방문자 리뷰 679', '블로그 리뷰 802']",서울 서초구 방배천로4안길 48 1층,"[{'day': '매일', 'hours': '12:00 - 22:00'}]",True,True,"['피스타치오라즈베리', '망고빙수(시즌)', '팥빙수(시즌)', '딸기쇼트(시즌)']"
하리호베이커리,"카페,디저트","['방문자 리뷰 903', '블로그 리뷰 499']",서울 서초구 사평대로53길 8-1 상가 1층 102호,"[{'day': '화', 'hours': '11:30 - 18:30'}, {'day': '수', 'hours': '11:30 - 18:30'}, {'day': '목', 'hours': '11:30 - 18:30'}, {'day': '금', 'hours': '11:30 - 18:30'}, {'day': '토', 'hours': '11:00 - 17:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:30 - 18:30'}]",True,False,"['선물포장 패키지', '몽블랑 휘낭시에', '두바이초콜릿 휘낭시에', '솔티 카라멜 휘낭시에']"
앙띠크,"카페,디저트","['별점\n4.43', '방문자 리뷰 798', '블로그 리뷰 416']",서울 서초구 서초중앙로20길 14 1층 앙띠크,"[{'day': '화', 'hours': '10:30 - 21:00'}, {'day': '수', 'hours': '10:30 - 21:00'}, {'day': '목', 'hours': '10:30 - 21:00'}, {'day': '금', 'hours': '10:30 - 21:00'}, {'day': '토', 'hours': '10:30 - 21:00'}, {'day': '일', 'hours': '11:00 - 21:00'}, {'day': '월', 'hours': '10:30 - 21:00'}]",True,False,"['바니벨루떼', '벨벳 브라운', '아메리카노', '카페라떼']"
행복빵집,베이커리,"['별점\n4.37', '방문자 리뷰 1,326', '블로그 리뷰 147']",서울 서초구 방배로 248 서래빌딩 1층,"[{'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}, {'day': '월', 'hours': '08:00 - 22:00'}]",True,False,"['행복찹쌀떡(낱개)', '200빵', '행복통팥빵', '소금빵']"
좋은아침페스츄리 양재점,베이커리,"['별점\n4.42', '방문자 리뷰 823', '블로그 리뷰 333']",서울 서초구 바우뫼로37길 18 제이프러스빌딩,"[{'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}]",True,False,"['오리지널 크로와상', '앙버터 크로와상', '햄치즈 크로와상']"
카페 이로,"카페,디저트","['방문자 리뷰 267', '블로그 리뷰 334']","서울 서초구 반포대로30길 32 1층, 지하1층","[{'day': '화', 'hours': '11:00 - 20:30'}, {'day': '수', 'hours': '11:00 - 20:30'}, {'day': '목', 'hours': '11:00 - 20:30'}, {'day': '금', 'hours': '11:00 - 20:30'}, {'day': '토', 'hours': '11:00 - 21:30'}, {'day': '일', 'hours': '11:00 - 21:30'}, {'day': '월', 'hours': '11:00 - 20:30'}]",True,False,"['해치의 신수림 [하]', '해치의 신수림 [추]', '해치의 신수림 [동]', '해치크림라떼']"
밀갸또 교대점,케이크전문,"['별점\n4.47', '방문자 리뷰 493', '블로그 리뷰 340']",서울 서초구 서초대로58길 37,"[{'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,['밀푀유']
던킨 양재사옥점,도넛,"['별점\n4.46', '방문자 리뷰 858', '블로그 리뷰 50']","서울 서초구 남부순환로 2620 (양재동 11-149,강남피타워) 지하1층","[{'day': '화', 'hours': '07:00 - 20:00'}, {'day': '수', 'hours': '07:00 - 20:00'}, {'day': '목', 'hours': '07:00 - 20:00'}, {'day': '금', 'hours': '07:00 - 20:00'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '07:00 - 20:00'}]",True,False,"['던캔 아이스아메리카노 4개 SET', '해피 먼치킨컵 (10개)', '허니딸기라떼', '해피 먼치킨컵 (10개)']"
카페모호,"카페,디저트","['별점\n4.57', '방문자 리뷰 385', '블로그 리뷰 323']",서울 서초구 양재천로7길 1 1층,"[{'day': '화', 'hours': '08:00 - 17:00'}, {'day': '수', 'hours': '08:00 - 17:00'}, {'day': '목', 'hours': '08:00 - 17:00'}, {'day': '금', 'hours': '08:00 - 17:00'}, {'day': '토', 'hours': '08:00 - 19:00'}, {'day': '일', 'hours': '08:00 - 19:00'}, {'day': '월', 'hours': '08:00 - 17:00'}]",True,False,"['아메리카노', '일랑일랑', '모호 라떼', '모호크림']"
누뗀,"카페,디저트","['방문자 리뷰 996', '블로그 리뷰 620']",서울 서초구 청계산로 119 지하1층~2층,"[{'day': '화', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '금', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '토', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '일', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '월', 'hours': '10:30 - 19:00\n18:30 라스트오더'}]",True,True,"['크런치 잠봉뵈르', '라떼', '누라떼', '아메리카노']"
카페드리옹 서래본점,카페,"['방문자 리뷰 884', '블로그 리뷰 470']",서울 서초구 서래로7길 18 1층 카페드리옹,"[{'day': '매일', 'hours': '09:00 - 23:00\n22:50 라스트오더'}]",True,True,"['바닐라 밀푀유(피스(Piece))', 'LYON 잉글리쉬 브랙퍼스트 밀크티(300ml)', '샹티 오 베리(홀(Whole))', '샹티 오 베리([전화예약가능])']"
밀도 강남역점,베이커리,"['별점\n4.69', '방문자 리뷰 81', '블로그 리뷰 323']",서울 서초구 강남대로 419 무인양품 1층 내 밀도,"[{'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}, {'day': '월', 'hours': '11:00 - 22:00'}]",True,False,"['담백식빵', '리치식빵', '허니러스크', '초코허니러스크']"
컨트리보이,베이커리,"['방문자 리뷰 360', '블로그 리뷰 78']",서울 서초구 방배로27길 53 1층,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['저온숙성식빵', '크랜베리호두푸가스', '카카오피칸바게트', '무화과사워도우(Whole)']"
