가격,거래 유형,건축물 용도,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
"15억 3,000",매매,공동주택,86.35㎡/59.98㎡(전용률69%),20만원,-,-/-,개별난방/도시가스,2458060115,"25.최신 모던 인테리어,채광우수,역세권 최고 매물,입주가능",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_221/hscp_img_1413773807058dMS2f_JPEG/photoinfra_1413773806024.jpg,즉시입주,서초포레스타6단지 603동,서울시 서초구 신원동 619,615대(세대당 1.05대),38세대,중/7층,복합식
14억,매매,공동주택,86.52㎡/59.93㎡(전용률69%),16만원,-,-/-,개별난방/도시가스,2457804632,25 황금라인신분당선청계산입구역도보5분 청계산자락의아파트 3베이판상형,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2025년 5월 30일 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,고/7층,계단식
14억,매매,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,-,개별난방/도시가스,2456348636,34 초역세권의 전망좋은 정남향  내부깔끔  6억 150 가능,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
"13억 7,000",매매,공동주택,86.35㎡/59.98㎡(전용률69%),16만원,-,-/-,개별난방/도시가스,2456525113,25 황금라인신분당선청계산입구역도보4분 3베이판상형 내부상태깨끗 밝아요,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_221/hscp_img_1413773807058dMS2f_JPEG/photoinfra_1413773806024.jpg,2026년 10월 13일 협의가능,서초포레스타6단지 606동,서울시 서초구 신원동 619,615대(세대당 1.05대),38세대,고/7층,계단식
19억,매매,공동주택,121.38㎡/84.33㎡(전용률69%),21만원,-,-/-,개별난방/도시가스,2456525345,34 신분당선청계산입구역도보5분 남향 보이는창마다숲이보여요 풀인테리어,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,고/7층,계단식
"13억 3,000",매매,공동주택,86.52㎡/59.93㎡(전용률69%),16만원,-,-/-,개별난방/도시가스,2456524619,25 황금라인신분당선청계산입구역도보4분 판상형 내부상태깨끗 아이키우기좋음,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2026년 7월 27일 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,저/7층,계단식
"13억 7,000",매매,공동주택,86.35㎡/59.98㎡(전용률69%),15만원,-,5억/88만원,개별난방/도시가스,2456326217,25 초역세권 도심속숲세권 특깨끗  신분당선 청계산입구역3분,3/2개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20141020_221/hscp_img_1413773807058dMS2f_JPEG/photoinfra_1413773806024.jpg,2026년 10월 하순 협의가능,서초포레스타6단지 606동,서울시 서초구 신원동 619,615대(세대당 1.05대),38세대,고/7층,계단식
"13억 5,000",매매,공동주택,86.52㎡/59.93㎡(전용률69%),18만원,-,-/-,개별난방/도시가스,2456377433,"초역세권,실내 깔끔, 아담한 판상형,쾌적한 주거환경",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2026년 7월 25일 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,저/7층,-
18억,매매,공동주택,111.67㎡/84.39㎡(전용률76%),20만원,-,-/-,개별난방/도시가스,2458747013,"34, 트인 인릉산 전망,이마트 병원등 인접,청계산역 도보8분",3/2개,남동향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,2026년 5월 10일 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,3/14층,계단식
9억,전세,공동주택,111.67㎡/84.39㎡(전용률76%),19만원,-,-,개별난방/도시가스,2458564380,34 신분당선청계산입구역도보7분 앞이트인산숲전망을사계절느낄수있어요 판상형,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,즉시입주 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,4/14층,-
9억,전세,공동주택,111.67㎡/84.39㎡(전용률76%),18만원,-,-,개별난방/도시가스,2458577966,34 숲전망 초역세권 인릉산뷰 컨디션굿 붙박이 입주청소,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,2025년 01월 초순 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,4/14층,계단식
18억,매매,공동주택,111.67㎡/84.39㎡(전용률76%),18만원,-,-/-,개별난방/도시가스,2458578333,34.숲세권 인릉산전망  로얄라인 신분당선 청계산입구역 도보7분,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,2026년 07월 하순 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,3/14층,계단식
18억,매매,공동주택,112.56㎡/84.4㎡(전용률75%),30만원,-,-/-,개별난방/도시가스,2458723355,"남향으로 올수리 입주매물,청계산뷰,여의천변",3/2개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20140314_281/hscp_img_1394794555526JE9Lm_JPEG/photoinfra_1394794555277.jpg,즉시입주 협의가능,서초포레스타5단지 509동,서울시 서초구 신원동 579,695대(세대당 1.27대),28세대,4/13층,계단식
17억,매매,공동주택,112.52㎡/84.41㎡(전용률75%),20만원,-,-/-,개별난방/도시가스,2458592143,"34, 신분당선 도보7분, 도심속 공기좋은 숲세권 전망,편의시설 인접",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_160/hscp_img_1394794578322l7qBJ_JPEG/photoinfra_1394794577964.jpg,즉시입주 협의가능,서초포레스타5단지 502동,서울시 서초구 신원동 579,695대(세대당 1.27대),75세대,2/15층,계단식
9억,전세,공동주택,111.67㎡/84.39㎡(전용률76%),20만원,-,-,개별난방/도시가스,2458591108,"34, 도심속공기좋은 숲세권 전망,신분당선역세권,이마트 병원등 인접",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,즉시입주 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,4/14층,계단식
"20억 5,000",매매,공동주택,134.93㎡/101.35㎡(전용률75%),21만원,-,-/-,개별난방/도시가스,2458265131,41  신분당선청계산입구역도보7분 앞이트인숲전망  내부상태깔끔해요,4/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_170/hscp_img_13947943034410WxQi_JPEG/photoinfra_1394794303146.jpg,즉시입주 협의가능,서초포레스타5단지 507동,서울시 서초구 신원동 579,695대(세대당 1.27대),42세대,5/5층,계단식
17억,매매,공동주택,112.52㎡/84.41㎡(전용률75%),19만원,-,-/-,개별난방/도시가스,2458260884,34 신분당선청계산역도보7분 급매 앞이트인숲전망 입주가능 내부상태깨끗,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_160/hscp_img_1394794578322l7qBJ_JPEG/photoinfra_1394794577964.jpg,즉시입주 협의가능,서초포레스타5단지 502동,서울시 서초구 신원동 579,695대(세대당 1.27대),75세대,2/15층,계단식
"20억 5,000",매매,공동주택,134.91㎡/101.35㎡(전용률75%),29만원,-,-/-,개별난방/도시가스,2458261571,41 황금라인신분당선청계산입구역도보8분 앞이트인숲전망 자연의맑은공기힐링,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_192/hscp_img_13947943366115NBkl_JPEG/photoinfra_1394794336383.jpg,즉시입주 협의가능,서초포레스타5단지 505동,서울시 서초구 신원동 579,695대(세대당 1.27대),22세대,12/14층,계단식
"20억 5,000",매매,공동주택,134.91㎡/101.35㎡(전용률75%),22만원,-,-/-,개별난방/도시가스,2458318703,"41,공기좋은 숲세권, 청계산 역세권, 내부상태 깨끗",4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_192/hscp_img_13947943366115NBkl_JPEG/photoinfra_1394794336383.jpg,즉시입주 협의가능,서초포레스타5단지 505동,서울시 서초구 신원동 579,695대(세대당 1.27대),22세대,12/14층,계단식
18억,매매,공동주택,111.67㎡/84.39㎡(전용률76%),22만원,-,9억/-,개별난방/도시가스,2458320904,34 전철역도보5분.산전망.붙박이장O.입주가능,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,2026년 07월 하순 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,3/14층,계단식
9억,전세,공동주택,111.67㎡/84.39㎡(전용률76%),20만원,-,-,개별난방/도시가스,2458292850,"신분당선 도보, 뛰어난 숲전망, 매우 깔끔,깨끗, 입주협의",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_20/hscp_img_13947945258037EVHW_JPEG/photoinfra_1394794525570.jpg,2026년 07월 하순 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),38세대,3/14층,-
"20억 5,000",매매,공동주택,134.93㎡/101.35㎡(전용률75%),15만원,-,-/-,개별난방/도시가스,2458138647,41. 방4.화2. 전원주택느낌의 사방숲뷰. 상태좋은매물. 추천,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_170/hscp_img_13947943034410WxQi_JPEG/photoinfra_1394794303146.jpg,2026년 02월 초순 협의가능,서초포레스타5단지 504동,서울시 서초구 신원동 579,695대(세대당 1.27대),42세대,5/5층,계단식
17억,매매,공동주택,112.52㎡/84.41㎡(전용률75%),18만원,-,-/-,개별난방/도시가스,2458167481,34 로얄동 앞트인숲세권전망 신분당선 청계산입구역7분거리  빠른입주가,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_160/hscp_img_1394794578322l7qBJ_JPEG/photoinfra_1394794577964.jpg,즉시입주 협의가능,서초포레스타5단지 502동,서울시 서초구 신원동 579,695대(세대당 1.27대),75세대,2/15층,계단식
"20억 5,000",매매,공동주택,134.91㎡/101.35㎡(전용률75%),22만원,-,-/-,개별난방/도시가스,2458053532,"41 역세권, 시원한 전망과  숲 향기  가득한  로얄동 로얄층, 입주가",4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_192/hscp_img_13947943366115NBkl_JPEG/photoinfra_1394794336383.jpg,즉시입주,서초포레스타5단지 505동,서울시 서초구 신원동 579,695대(세대당 1.27대),22세대,12/14층,계단식
20억,매매,공동주택,112.76㎡/84.51㎡(전용률75%),23만원,-,-/-,개별난방/도시가스,2458112087,"신분당선 도보7분,여의천변 트인 전망,편의시설 인접,입주 가능",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_249/hscp_img_1394794603955dHMVe_JPEG/photoinfra_1394794603540.jpg,즉시입주 협의가능,서초포레스타5단지 511동,서울시 서초구 신원동 579,695대(세대당 1.27대),30세대,6/17층,계단식
8억,전세,공동주택,80.4㎡/59.93㎡(전용률75%),20만원,정액관리비,-,개별난방/도시가스,2457917412,청계산입구역세권 방마다 산전망,3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_162/hscp_img_13947944908023qWvD_JPEG/photoinfra_1394794490241.jpg,2025년 2월 23일 협의가능,서초포레스타5단지 502동,서울시 서초구 신원동 579,695대(세대당 1.27대),54세대,10/15층,계단식
