가격,거래 유형,건축물 용도,계약기간,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
"12억 5,000",매매,공동주택,-,112.69㎡/95.58㎡(전용률85%),20만원,정액관리비,-/-,개별난방/도시가스,2457607684,31세대  총 1동  2005.09.15  91㎡ 135㎡,3/2개,남서향(거실 기준),-,,2024년 12월 중순 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),6세대,3/8층,계단식
12억,매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),35만원,-,6억/-,개별난방/도시가스,2456974335,-,3/2개,북동향(거실 기준),-,,2026년 5월 28일 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),13세대,5/8층,계단식
"12억 5,000",매매,공동주택,-,112.69㎡/95.58㎡(전용률85%),20만원,-,-/-,개별난방/도시가스,2457654321,"빠른입주도 가능, 신시역 논현역 도보710분거리",3/2개,북서향(거실 기준),-,,2025년 1월 15일 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),6세대,중/8층,계단식
12억,매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),22만원,-,6억/-,개별난방/도시가스,2457223074,갭투자 전세안고 저렴하고 교통편리한 아파트 급매,3/2개,남동향(거실 기준),없음,,2026년 05월 하순 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),13세대,중/8층,계단식
"12억 5,000",매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),22만원,정액관리비,1억/230만원,개별난방/도시가스,2454243658,"더블역세권, 공원 및 병원 多,도심속 살기 좋고 조용한 아파트 매매 매물",3/2개,남동향(거실 기준),-,,2025년 10월 20일 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),13세대,3/8층,계단식
"12억 5,000",매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),22만원,-,6억/-,개별난방/도시가스,2453563615,논현역7분 세안고매매 좋은 갭투자 올수리하여 상태좋으며 채광좋아요,3/2개,남동향(거실 기준),없음,,2026년 05월 하순,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.23대),13세대,5/8층,계단식
12억,매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),25만원,-,6억/-,개별난방/도시가스,2456139795,30.올수리.조용하고 신사.논현역세권.신동초중교진학.세안고,3/2개,남동향(거실 기준),-,,즉시입주,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),13세대,중/8층,계단식
12억,매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),20만원,-,6억/-,개별난방/도시가스,2454740365,-,3/2개,남향(거실 기준),없음,,2025년 5월 30일 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),13세대,중/8층,복합식
32억,매매,-,-,212.17㎡/196.74㎡(전용률93%),45만원,-,-/-,개별난방/도시가스,2456469146,"방4,욕실2 실면적 넓고 수리되어 깨끗한 전세",5/2개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20140916_136/hscp_img_1410853764662eqqTl_JPEG/photoinfra_1410853764406.jpg,2025년 10월 9일 협의가능,현대넥서스(261-7) B동,서울시 강남구 논현동 261-7,38대(세대당 2.11대),1세대,6/10층,계단식
40억,매매,-,-,254.09㎡/235.61㎡(전용률93%),0원,정액관리비,16억/-,개별난방/도시가스,2458247934,전세앉고  투자,5/3개,남향(거실 기준),-,,즉시입주,현대넥서스(261-7) B동,서울시 강남구 논현동 261-7,38대(세대당 2.11대),5세대,2/10층,계단식
40억,매매,-,-,254.09㎡/235.61㎡(전용률93%),60만원,-,"15억5,000/-",개별난방/도시가스,2455188535,내부리모델링세대  25년4월 입주협의,5/3개,남향(거실 기준),-,,2025년 4월 30일 협의가능,현대넥서스(261-7) B동,서울시 강남구 논현동 261-7,38대(세대당 2.11대),5세대,2/10층,계단식
32억,매매,공동주택,-,212.17㎡/196.74㎡(전용률93%),40만원,-,-/-,개별난방/도시가스,2455140219,즉시입주 및 협의입주가능 내부상태 최상급 저렴한 면적대비 저렴한 매매,5/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140916_136/hscp_img_1410853764662eqqTl_JPEG/photoinfra_1410853764406.jpg,즉시입주 협의가능,현대넥서스(261-7) B동,서울시 강남구 논현동 261-7,38대(세대당 2.11대),1세대,6/10층,계단식
10억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),"43만 3,540원",-,-,지역난방/열병합,2458592651,빠른 입주 가능. 수리상태 양호.,4/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,112대(세대당 1대),112세대,12/14층,계단식
10억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,정액관리비,-,지역난방/열병합,2457222748,49 귀한 급전세 소유자직접의뢰 로얄층에 융자없음,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,12/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),36만원,-,-,지역난방/열병합,2457763789,특올수리 입주협의 융무,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,112대(세대당 1대),112세대,8/14층,계단식
10억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),35만원,-,-,지역난방/열병합,2458292532,융자없음 반포역 도보2분 인프라굿,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),47만 535원,-,-,지역난방/열병합,2457445378,-,4/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,1대(세대당 112대),112세대,중/14층,계단식
10억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),"50만 1,450원",-,-,지역난방/열병합,2457439738,"특올수리, 융무,  반포역인근, 킴스클럽 신세계 근처, 넓은평형",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,250대(세대당 2대),112세대,고/14층,계단식
"39억 9,000",매매,공동주택,-,155.6㎡/143.95㎡(전용률93%),35만원,-,-/-,지역난방/열병합,2457175211,대형평수 재건축단지 지분높음,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
"11억 3,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),36만원,-,-,지역난방/열병합,2456722086,올수리 하시 입주협의 융무,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,112대(세대당 1대),112세대,중/14층,계단식
10억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,-,-,지역난방/열병합,2456681794,ONE49 O급전세 O수리된집 O전용넓은구조 O입지좋고학군최고,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,고/14층,-
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),36만원,-,-,지역난방/열병합,2455413209,특올수리 하시 입주협의 융무,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,112대(세대당 1대),112세대,8/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,-,-,지역난방/열병합,2456229754,49 확장 및 올수리 반포역 3분 경원중,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),49만원,-,-,지역난방/열병합,2455882210,"49, 반포역세권 주차공간 넓음,",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
10억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,-,-,지역난방/열병합,2455874620,"49. 탁트인뷰 ,채광굿, 즉시 입주가능, 반포역 근접,로얄층,무융자",4/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,고/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,정액관리비,-,지역난방/열병합,2454728481,"채광 및 전망좋은 남향물건, 입주일협의, 반포.잠원역 인접",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,정액관리비,-,지역난방/열병합,2454722590,"정상입주협의, 채광 및 전망좋은 남향물건, 잠원역.반포역 3분",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),35만원,-,-,지역난방/열병합,2454570781,"주인거주, 귀한전세",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,중/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),36만원,-,-,지역난방/열병합,2453584530,특올수리 입주협의 융무,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,112대(세대당 1대),112세대,중/14층,계단식
"11억 5,000",전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),36만원,-,-,지역난방/열병합,2453285687,올수리 하시정상협의입주 융무,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주 협의가능,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,112대(세대당 1대),112세대,중/14층,계단식
11억,전세,공동주택,-,155.6㎡/143.95㎡(전용률93%),40만원,-,-,지역난방/열병합,2453130869,귀한전세,4/2개,남향(안방 기준),-,https://landthumb-phinf.pstatic.net/20120328_293/hscp_img_1332916545660JCYkG_JPEG/GW70765_1332916544485.jpg,즉시입주,신반포20차 339동,서울시 서초구 잠원동 60-78 일대,-,112세대,고/14층,계단식
"2,000/90",월세,공동주택,-,29.51㎡/16.4㎡(전용률56%),20만원,-,-,개별난방/도시가스,2458186762,"전입OK, 실매물o, 주차ok, 뷰 잘나옴, ACE Pick, 풀옵션",1/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20170724_269/hscp_img_1500879289940B3BCm_JPEG/photoinfra_1500879289701.jpg,즉시입주 협의가능,현대썬앤빌(도시형) 1동,서울시 강남구 신사동 588-16,47대(세대당 1.04대),15세대,8/16층,복도식
"3,000/150",월세,공동주택,-,27.74㎡/15.42㎡(전용률56%),30만원,-,-,개별난방/도시가스,2458186737,"동일면적 2호수 내부 튼 호수입니다, Eng ok, 전입ok, 화장실",1/1개,북서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20170724_83/hscp_img_1500879284495Esd6U_JPEG/photoinfra_1500879284216.jpg,즉시입주 협의가능,현대썬앤빌(도시형) 1동,서울시 강남구 신사동 588-16,47대(세대당 1.04대),25세대,6/16층,복도식
"8억 5,000",전세,공동주택,-,99.54㎡/74.75㎡(전용률75%),18만원,-,-,개별난방/도시가스,2458529038,"올수리,입주협의 가능합니다. 전세자금대출 가능합니다.",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,70대(세대당 1대),64세대,3/6층,복합식
12억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),25만원,-,-/-,개별난방/도시가스,2458475081,강남구청역5분 확장 올마루 올수리 방3 화2 지분11.2P 실입주가능,3/2개,서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,저/6층,복도식
12억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),20만원,-,-/-,개별난방/도시가스,2458619580,방3화2  입주협의 강남구청역,3/2개,북향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,저/6층,복도식
12억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),18만원,-,-/-,개별난방/도시가스,2458440324,주인의뢰 올수리 전세안고 추천매물,3/2개,서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1대),64세대,중/6층,-
8억,전세,공동주택,-,99.54㎡/74.75㎡(전용률75%),25만원,정액관리비,-,개별난방/도시가스,2457484670,-,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,중/6층,-
"13억 5,000",매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),21만원,-,-/-,개별난방/도시가스,2457235219,"올 리모델링, 앞 트임 예쁨",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,2025년 1월 28일 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,4/6층,-
"13억 5,000",매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),20만원,정액관리비,-/-,개별난방/도시가스,2458123535,올수리로 집 상태 깨끗,3/2개,서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1대),64세대,4/6층,복도식
8억,전세,공동주택,-,99.54㎡/74.75㎡(전용률75%),20만원,-,-,개별난방/도시가스,2458308434,30 내부상태좋습니다 입주협의 전세자금대출 동의,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,3/6층,-
"8억 5,000",전세,공동주택,-,99.54㎡/74.75㎡(전용률75%),25만원,정액관리비,-,개별난방/도시가스,2457085909,강남구청역세권 특올수리 컨디션 아주좋음,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,중/6층,-
12억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),20만원,-,-/-,개별난방/도시가스,2455004889,"갶투자,올리수,예쁜집입니다.",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,2025년 8월 1일 협의가능,우민 1동,서울시 강남구 논현동 107-44,107대(세대당 1.5대),64세대,3/6층,복합식
12억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),15만원,정액관리비,6억/-,개별난방/도시가스,2457755525,2023년 05월 올수리  전세 6억 안고 진행하는 매물 입니다,3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,2025년 8월 10일,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,중/6층,-
"13억 5,000",매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),20만원,-,-/-,개별난방/도시가스,2457276104,특급 올수리  방3화2  입주협의 강남구청역,3/2개,북향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,2025년 1월 28일 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1.07대),64세대,중/6층,복도식
13억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),18만원,-,-/-,개별난방/도시가스,2453921856,탑층입니다. 갶투자 가능합니다.,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,2026년 12월 20일 협의가능,우민 1동,서울시 강남구 논현동 107-44,76대(세대당 1대),64세대,6/6층,복합식
"8억 5,000",전세,공동주택,-,99.54㎡/74.75㎡(전용률75%),15만원,정액관리비,-,개별난방/도시가스,2453869243,올수리로 예쁜집.대출가능.귀한 전세,3/2개,서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,즉시입주 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1대),64세대,3/6층,복도식
12억,매매,공동주택,-,99.54㎡/74.75㎡(전용률75%),15만원,정액관리비,6억/-,개별난방/도시가스,2453869514,화이트톤 올리모델링.갭투자.로열층,3/2개,서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327407301134OmGaq_JPEG/116_8774_1_99_GA1_1294120712521.jpg,2025년 7월 30일 협의가능,우민 1동,서울시 강남구 논현동 107-44,75대(세대당 1대),64세대,3/6층,복도식
