가격,거래 유형,건축물 용도,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
11억,전세,공동주택,123.59㎡/102.09㎡(전용률83%),35만원,-,-,개별난방/도시가스,2453273504,"주인거주,올확장,리모델링한집,오래거주선호.방4",4/2개,동향(거실 기준),-,,2025년 1월 8일 협의가능,"반포훼밀리(103,104동) 103동",서울시 서초구 반포동 702-1,75대(세대당 1.59대),19세대,8/10층,복도식
5억/200,월세,공동주택,127.51㎡/115.43㎡(전용률91%),10만원,-,-,개별난방/도시가스,2454997546,"올수리 내부 입지 최상, 반전세 가능, 보증금 하양 가능,",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141113_249/hscp_img_1415843686126667yV_JPEG/photoinfra_1415843685343.jpg,즉시입주,"반포훼밀리(103,104동) 104동",서울시 서초구 반포동 702-1,75대(세대당 1.6대),19세대,5/7층,계단식
11억,전세,공동주택,123.59㎡/102.09㎡(전용률83%),30만원,-,-,개별난방/도시가스,2454012872,37 입지 최상  올수리로 깔끔한 집 역세권,4/2개,남서향(거실 기준),-,,즉시입주 협의가능,"반포훼밀리(103,104동) 103동",서울시 서초구 반포동 702-1,75대(세대당 1.59대),19세대,고/10층,-
11억,전세,공동주택,123.59㎡/102.09㎡(전용률83%),30만원,정액관리비,-,개별난방/도시가스,2453802419,38실거주최고 특올수리 방4화2 밝고 환한집,4/2개,남서향(거실 기준),-,,즉시입주 협의가능,"반포훼밀리(103,104동) 103동",서울시 서초구 반포동 702-1,75대(세대당 1.59대),19세대,고/10층,계단식
3억/320,월세,공동주택,127.51㎡/115.43㎡(전용률91%),30만원,정액관리비,-,개별난방/도시가스,2454916519,내부 올수리 깔끔한집 보증금 조정 가능합니다,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141113_249/hscp_img_1415843686126667yV_JPEG/photoinfra_1415843685343.jpg,즉시입주,"반포훼밀리(103,104동) 104동",서울시 서초구 반포동 702-1,75대(세대당 1.59대),19세대,고/7층,복합식
"17억 5,000",전세,공동주택,114.47㎡/88.93㎡(전용률78%),33만원,-,-,지역난방/열병합,2458301513,확트인최고의전망 넒은마당 여유로운공간 초중고근접거리위치,3/2개,남서향(거실 기준),-,,즉시입주 협의가능,반포센트레빌아스테리움 102동,서울시 서초구 반포동 1344,173대(세대당 1.60대),2세대,고/19층,계단식
30억,매매,공동주택,103.6㎡/82.01㎡(전용률79%),33만원,-,-/-,지역난방/열병합,2457005114,소유자직접. 중층 관리잘된 세대. 갭투자 세안고 매매,3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20191219_126/hscp_img_15767453091445UxPi_JPEG/photoinfra_1576745301532.jpg,즉시입주,반포센트레빌아스테리움 102동,서울시 서초구 반포동 1344,176대(세대당 1.62대),18세대,고/19층,계단식
31억,매매,공동주택,103.6㎡/82.01㎡(전용률79%),30만원,-,-/-,지역난방/열병합,2456584963,31  입주가능 갭투자가능 사평역연결  초품아,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20191219_188/hscp_img_15767453682546HKtX_JPEG/photoinfra_1576745368035.jpg,2024년 12월 20일 협의가능,반포센트레빌아스테리움 102동,서울시 서초구 반포동 1344,173대(세대당 1.6대),28세대,저/19층,계단식
30억,매매,공동주택,103.6㎡/82.01㎡(전용률79%),31만원,-,-/-,지역난방/열병합,2457093228,주인직접 사평역 풀옵션 초중고인접 확실진행,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20191219_188/hscp_img_15767453682546HKtX_JPEG/photoinfra_1576745368035.jpg,즉시입주 협의가능,반포센트레빌아스테리움 102동,서울시 서초구 반포동 1344,173대(세대당 1.6대),28세대,저/19층,계단식
30억,매매,공동주택,103.6㎡/82.01㎡(전용률79%),40만원,-,-/-,지역난방/열병합,2456966413,31. 매매. 사평역 부근. 신축단지. 반포학원가. 교통편리.,3/2개,남동향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20200917_115/hscp_img_16003292243017VhzL_JPEG/photoinfra_1600329223779.jpg,즉시입주 협의가능,반포센트레빌아스테리움 102동,서울시 서초구 반포동 1344,176대(세대당 1.62대),25세대,중/19층,계단식
30억,매매,공동주택,103.6㎡/82.01㎡(전용률79%),30만원,-,-/-,지역난방/열병합,2454550010,채광 좋은 라인 .풀옵션. 갭투자 환영,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20200716_244/hscp_img_1594880293008opuEK_JPEG/photoinfra_1594880292675.jpg,즉시입주 협의가능,반포센트레빌아스테리움 102동,서울시 서초구 반포동 1344,173대(세대당 1.6대),16세대,고/19층,-
3억/160,월세,공동주택,79.93㎡/63.94㎡(전용률80%),20만원,-,-,지역난방/열병합,2457697325,"25 귀한월세,특올수리,확장,보증금조정가,빠른입주",3/1개,남서향(거실 기준),-,,즉시입주,한신타운 101동,서울시 서초구 잠원동 60-4,-,30세대,5/15층,계단식
"7억 9,000",전세,공동주택,98.02㎡/78.39㎡(전용률80%),28만원,-,-,지역난방/열병합,2457013546,"반포역5분,융자무",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,77대(세대당 0.7대),77세대,6/15층,계단식
2억/200,월세,공동주택,79.93㎡/63.94㎡(전용률80%),25만원,-,-,지역난방/열병합,2458088880,"25 특올수리,빠른입주가능,신혼부부 강추",3/1개,남동향(거실 기준),-,,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,30세대,5/15층,계단식
8억,전세,-,98.02㎡/78.39㎡(전용률80%),28만원,-,-,지역난방/열병합,2457933440,반포역 바로앞   남향집,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,6/15층,계단식
8억,전세,공동주택,98.02㎡/78.39㎡(전용률80%),20만원,-,-,지역난방/열병합,2457180763,"30 귀한전세,반포역초역세권,융자무",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,6/15층,계단식
4억/150,월세,공동주택,98.02㎡/78.39㎡(전용률80%),25만원,-,-,지역난방/열병합,2457094423,-,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주,한신타운 101동,서울시 서초구 잠원동 60-4,1대(세대당 1대),77세대,10/15층,계단식
8억,전세,공동주택,98.02㎡/78.39㎡(전용률80%),25만원,-,-,지역난방/열병합,2458089158,"30 반포역 초역세권,융자없는 귀한 전세",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,중/15층,계단식
1억/280,월세,-,98.02㎡/78.39㎡(전용률80%),25만원,정액관리비,-,지역난방/열병합,2457924978,"반포역 바로 앞, 경원중 학세권",3/2개,서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,저/15층,계단식
8억,전세,공동주택,98.02㎡/78.39㎡(전용률80%),25만원,-,-,지역난방/열병합,2456538939,반포역역세권 특올수리 융무,3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,2025년 1월 15일 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,6/15층,계단식
"23억 5,000",매매,-,98.02㎡/78.39㎡(전용률80%),"3만 2,000원",-,-/-,지역난방/열병합,2457924293,"반포역 바로 앞, 경원중 학세권",3/2개,서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,저/15층,계단식
8억,전세,공동주택,98.02㎡/78.39㎡(전용률80%),20만원,-,-,지역난방/열병합,2457739867,"30, 입주협의, 반포역 3분, 상태 좋아요",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,중/15층,계단식
8억,전세,-,98.02㎡/78.39㎡(전용률80%),30만원,-,-,지역난방/열병합,2457162071,30 올수리.반포역 초인접.채광좋은 밝고환한집.입주협의,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,2025년 1월 30일 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,중/15층,계단식
8억,전세,-,98.02㎡/78.39㎡(전용률80%),32만원,정액관리비,-,지역난방/열병합,2456654344,"깨끗,15 이후 입주,조용한단지로 잠원역 근처",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,2025년 1월 6일 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,중/15층,계단식
3억/160,월세,-,79.93㎡/63.94㎡(전용률80%),25만원,-,-,지역난방/열병합,2454261008,"특올수리,신혼부부추천,반포역초역세권",3/1개,남서향(거실 기준),-,,2024년 11월 하순 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,30세대,5/15층,계단식
3억/160,월세,-,79.93㎡/63.94㎡(전용률80%),15만원,-,-,지역난방/열병합,2454726004,25. 수리 잘 되어 깔끔한 집 반원초 경원중 학세권 빠른입주 가능,3/1개,남동향(거실 기준),-,,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,30세대,중/15층,계단식
25억,매매,-,98.02㎡/78.39㎡(전용률80%),25만원,-,-/-,지역난방/열병합,2453072172,귀한 30  반포역초역세권  생활인프라편리 입주가능,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120328_244/hscp_img_1332916802512V7F1c_JPEG/GW70765_1332916798794.jpg,즉시입주 협의가능,한신타운 101동,서울시 서초구 잠원동 60-4,-,77세대,고/15층,계단식
"37억 5,000",매매,공동주택,85.52㎡/79.42㎡(전용률93%),28만원,-,-/-,지역난방/열병합,2458526651,특올수리 바닥난방 조합원승계,3/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_226/hscp_img_1332836670629deRan_JPEG/GW70765_1332836669501.jpg,즉시입주 협의가능,신반포2차 113동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),288세대,10/12층,복도식
"10억 5,000",전세,공동주택,164.72㎡/150.58㎡(전용률91%),"54만 2,500원",정액관리비,-,지역난방/열병합,2457471749,"올수리,확장,원목마루,씽크대,욕실2개 최근 교체해 깔끔해요",4/2개,남향(거실 기준),-,,즉시입주 협의가능,신반포2차 106동,서울시 서초구 잠원동 73,1340대(세대당 0.84대),96세대,2/12층,계단식
"38억 5,000",매매,공동주택,99.13㎡/92.2㎡(전용률93%),30만원,-,-/-,지역난방/열병합,2458379791,올수리입니다,3/1개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_208/hscp_img_1332836682251zITwD_JPEG/GW70765_1332836681141.jpg,즉시입주 협의가능,신반포2차 109동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),192세대,저/12층,복도식
37억,매매,공동주택,85.52㎡/79.42㎡(전용률93%),25만원,-,-/-,지역난방/열병합,2458569584,"25  깨끗한 올수리 화장실,씽크대도 교체",3/1개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_226/hscp_img_1332836670629deRan_JPEG/GW70765_1332836669501.jpg,2024년 12월 19일 협의가능,신반포2차 111동,서울시 서초구 잠원동 73,1340대(세대당 2대),288세대,고/12층,복도식
35억,매매,공동주택,85.52㎡/79.42㎡(전용률93%),"26만 1,530원",-,-/-,지역난방/열병합,2458413857,25.신통재건축.조합원승계.투자가치최고,3/1개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_226/hscp_img_1332836670629deRan_JPEG/GW70765_1332836669501.jpg,즉시입주 협의가능,신반포2차 113동,서울시 서초구 잠원동 73,3300대(세대당 2.1대),288세대,중/12층,복도식
39억,매매,공동주택,99.13㎡/92.2㎡(전용률93%),"38만 9,589원",-,-/-,지역난방/열병합,2458543362,30. 단독O 한강조망O 입주가능O 조합원 승계 확실,3/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_208/hscp_img_1332836682251zITwD_JPEG/GW70765_1332836681141.jpg,즉시입주 협의가능,신반포2차 109동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),192세대,중/12층,복도식
"4억 8,000",전세,공동주택,74.18㎡/68.91㎡(전용률93%),20만원,-,-,지역난방/열병합,2458395692,주인실제매물 22 특A급올수리 확장 전세자금대출됨 샷시마루 장기거주,2/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_144/hscp_img_1332836659135n3SHX_JPEG/GW70765_1332836657659.jpg,즉시입주,신반포2차 112동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),336세대,고/12층,복도식
"4억 5,000",전세,공동주택,74.18㎡/68.91㎡(전용률93%),20만원,-,-,지역난방/열병합,2458395174,주인실제매물 22 특A급올수리 거실난방 전세금대출됨 샷시확장칠LED,2/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_144/hscp_img_1332836659135n3SHX_JPEG/GW70765_1332836657659.jpg,즉시입주,신반포2차 110동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),336세대,저/12층,복도식
6억,전세,공동주택,85.52㎡/79.42㎡(전용률93%),23만원,-,-,지역난방/열병합,2458517511,25 주인직접 올수리 장기거주가,3/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_226/hscp_img_1332836670629deRan_JPEG/GW70765_1332836669501.jpg,즉시입주,신반포2차 113동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),288세대,고/12층,복도식
32억,매매,공동주택,74.18㎡/68.91㎡(전용률93%),25만원,정액관리비,-/-,지역난방/열병합,2458302071,22 재건축 눈앞 신통기획 최고의 한강뷰 와 최고의 입지,2/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_144/hscp_img_1332836659135n3SHX_JPEG/GW70765_1332836657659.jpg,즉시입주 협의가능,신반포2차 112동,서울시 서초구 잠원동 73,1340대(세대당 2대),336세대,중/12층,복도식
6억,전세,공동주택,85.52㎡/79.42㎡(전용률93%),25만원,-,-,지역난방/열병합,2458249762,25 수리된 집 장기거주 가능 언제든 입주가능,3/1개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_226/hscp_img_1332836670629deRan_JPEG/GW70765_1332836669501.jpg,즉시입주,신반포2차 113동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),288세대,고/12층,복도식
39억,매매,공동주택,99.13㎡/92.2㎡(전용률93%),"38만 9,589원",-,-/-,지역난방/열병합,2458260830,30. 재건축O한강조망O입주가O조합원승계가,3/1개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_208/hscp_img_1332836682251zITwD_JPEG/GW70765_1332836681141.jpg,즉시입주 협의가능,신반포2차 109동,서울시 서초구 잠원동 73,3300대(세대당 2.1대),192세대,중/12층,복도식
53억,매매,공동주택,147.5㎡/137.66㎡(전용률93%),45만원,-,-/-,지역난방/열병합,2458116772,45 주인직접 단독 영구 한강 조망권 거실확장,4/2개,남향(거실 기준),시세 대비 30% 이상,https://landthumb-phinf.pstatic.net/20120327_89/hscp_img_1332836714075aCqz2_JPEG/GW70765_1332836712600.jpg,즉시입주 협의가능,신반포2차 108동,서울시 서초구 잠원동 73,1340대(세대당 2대),96세대,저/12층,복도식
43억,매매,공동주택,115.58㎡/107.31㎡(전용률93%),40만원,-,-/-,지역난방/열병합,2458366698,올수리입니다,4/1개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_84/hscp_img_1332836696396y0eex_JPEG/GW70765_1332836695167.jpg,즉시입주 협의가능,신반포2차 101동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),360세대,1/12층,복도식
"37억 5,000",매매,공동주택,99.13㎡/92.2㎡(전용률93%),30만원,-,-/-,지역난방/열병합,2458544997,올수리입니다,3/1개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_208/hscp_img_1332836682251zITwD_JPEG/GW70765_1332836681141.jpg,즉시입주 협의가능,신반포2차 109동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),192세대,4/12층,복도식
30억,매매,공동주택,74.18㎡/68.91㎡(전용률93%),22만원,-,-/-,지역난방/열병합,2458502962,22. 한강변 신송톡합재건축. 시공사 선정 임박. 조합원지위승계 확실,2/1개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_144/hscp_img_1332836659135n3SHX_JPEG/GW70765_1332836657659.jpg,즉시입주 협의가능,신반포2차 112동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),336세대,2/12층,복도식
3억/330,월세,공동주택,164.72㎡/150.58㎡(전용률91%),50만원,-,-,지역난방/열병합,2457606811,50형 슈퍼A급 확장o 원목마루o 융자x 반원초o 청담고o,5/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_62/hscp_img_13328367214311du9I_JPEG/GW70765_1332836720175.jpg,즉시입주 협의가능,신반포2차 106동,서울시 서초구 잠원동 73,1340대(세대당 0.85대),96세대,중/12층,계단식
38억,매매,공동주택,117.52㎡/84.92㎡(전용률72%),41만원,-,-/-,지역난방/열병합,2458564349,"풀옵션,판상구조,전세안고,뉴코아앞,생활시설편리.반원초,경원중,역세권",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_277/hscp_img_15372537894416qAfU_JPEG/photoinfra_1537253789239.jpg,즉시입주,신반포자이 106동,서울시 서초구 잠원동 160,981대(세대당 1.61대),98세대,19/26층,계단식
45억,매매,공동주택,126.47㎡/98.45㎡(전용률78%),45만원,-,-/-,지역난방/열병합,2458518672,"풀옵션, 트인뷰, 트리플역세권, 편리한생활권,",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_2/hscp_img_1537253816415sTxF5_JPEG/photoinfra_1537253815811.jpg,즉시입주 협의가능,신반포자이 103동,서울시 서초구 잠원동 160,981대(세대당 1.61대),52세대,9/27층,계단식
38억,매매,공동주택,117.52㎡/84.92㎡(전용률72%),33만원,-,-/-,지역난방/열병합,2458475042,"35 명품단지,로얄동 로얄층,세안고,명품학군",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_277/hscp_img_15372537894416qAfU_JPEG/photoinfra_1537253789239.jpg,즉시입주,신반포자이 106동,서울시 서초구 잠원동 160,981대(세대당 1.61대),98세대,19/26층,계단식
38억,매매,공동주택,117.52㎡/84.92㎡(전용률72%),39만원,-,-/-,지역난방/열병합,2458235116,35 세안고 귀한매매 뉴코아킴스근방 경원중,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_277/hscp_img_15372537894416qAfU_JPEG/photoinfra_1537253789239.jpg,즉시입주 협의가능,신반포자이 106동,서울시 서초구 잠원동 160,981대(세대당 1.61대),98세대,19/26층,계단식
38억,매매,공동주택,117.52㎡/84.92㎡(전용률72%),25만원,-,-/-,지역난방/열병합,2457884450,판상형구조 전세안고 매매,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_277/hscp_img_15372537894416qAfU_JPEG/photoinfra_1537253789239.jpg,즉시입주 협의가능,신반포자이 106동,서울시 서초구 잠원동 160,981대(세대당 1.61대),98세대,19/26층,계단식
"38억 5,000",매매,공동주택,117.52㎡/84.92㎡(전용률72%),35만원,-,-/-,지역난방/열병합,2457336722,O34O편리한생활인프라O교통최고O학세권O세안고O판상형O,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_277/hscp_img_15372537894416qAfU_JPEG/photoinfra_1537253789239.jpg,즉시입주 협의가능,신반포자이 106동,서울시 서초구 잠원동 160,981대(세대당 1.61대),98세대,19/26층,계단식
45억,매매,공동주택,126.47㎡/98.45㎡(전용률78%),48만원,-,-/-,지역난방/열병합,2457317629,"풀옵션, 킴스클럽 바로 코앞으로 생활편리. 경원중,",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_2/hscp_img_1537253816415sTxF5_JPEG/photoinfra_1537253815811.jpg,즉시입주,신반포자이 103동,서울시 서초구 잠원동 160,981대(세대당 1.61대),52세대,9/27층,계단식
13억/120,월세,공동주택,110.4㎡/84.97㎡(전용률77%),35만원,-,-,지역난방/열병합,2458467877,34 월세. 타운단독. 집 상태 첫 입주 그대로. 풀옵션. 입주협의,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180814_191/hscp_img_1534231518926XOBLe_JPEG/photoinfra_1534231518623.jpg,즉시입주,신반포자이 103동,서울시 서초구 잠원동 160,981대(세대당 1.61대),26세대,고/27층,계단식
1억/650,월세,공동주택,117.52㎡/84.92㎡(전용률72%),41만원,-,-,지역난방/열병합,2458475162,35 I 상태굿 I 채광굿 I 뉴코아 I 킴스앞 I 경원중 I 역세권,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_277/hscp_img_15372537894416qAfU_JPEG/photoinfra_1537253789239.jpg,즉시입주,신반포자이 107동,서울시 서초구 잠원동 160,981대(세대당 1.61대),98세대,저/25층,계단식
40억,매매,공동주택,114.1㎡/84.97㎡(전용률74%),"39만 7,972원",-,-/-,지역난방/열병합,2458484615,34 트인전망 즐기는 씨티뷰 최고의 학군. 입주가능,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180814_226/hscp_img_15342315027043gG0S_JPEG/photoinfra_1534231502419.jpg,2024년 11월 30일 협의가능,신반포자이 105동,서울시 서초구 잠원동 160,981대(세대당 1.61대),91세대,고/25층,계단식
"30억 5,000",매매,공동주택,86.02㎡/59.93㎡(전용률70%),28만원,-,-/-,지역난방/열병합,2458529209,"풀옵션, 트인뷰, 트리플역세권, 편리한생활권, 경원중",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_198/hscp_img_1537253753485PKntg_JPEG/photoinfra_1537253753240.jpg,즉시입주 협의가능,신반포자이 106동,서울시 서초구 잠원동 160,981대(세대당 1.61대),54세대,중/26층,계단식
"16억 5,000",전세,공동주택,112.34㎡/84.98㎡(전용률76%),33만원,-,-,지역난방/열병합,2458498469,"단독관리, 최고인기 로얄라인과  층, 귀한 라인",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20180918_156/hscp_img_1537253804438Qji2y_JPEG/photoinfra_1537253804226.jpg,즉시입주,신반포자이 105동,서울시 서초구 잠원동 160,981대(세대당 1.61대),22세대,고/25층,-
